epoch,x_ecef,y_ecef,z_ecef,gt_x,gt_y,gt_z,lat_deg,lon_deg,height,clock_bias,n_sats,gdop,pdop,hdop,vdop,tdop,sigma0,err_e,err_n,err_u,err_h,err_3d
2026-05-10 00:00:00,-2162411.896751,4376388.778395,4091388.907958,-2162410.722815,4376388.455983,4091389.409146,40.157492,116.294379,35.314725,35.566519,13,1.860164,1.588896,0.879184,1.323490,0.967275,0.723444,0.909729,-0.904757,0.295081,1.283040,1.316535
2026-05-10 00:00:30,-2162405.249399,4376378.142159,4091401.012515,-2162405.624047,4376379.681376,4091401.408859,40.157648,116.294365,33.582436,56.216827,13,1.861553,1.590108,0.879701,1.324602,0.967954,0.772563,0.345806,0.694055,-1.437131,0.775432,1.632985
2026-05-10 00:01:00,-2162400.339758,4376371.677479,4091413.210530,-2162399.310530,4376371.537787,4091413.375681,40.157778,116.294347,35.357101,47.464144,13,1.862929,1.591313,0.880229,1.325698,0.968622,0.365020,0.860912,-0.500954,0.337600,0.996054,1.051712
2026-05-10 00:01:30,-2162390.536239,4376367.084506,4091424.107196,-2162391.799568,4376364.047537,4091425.276813,40.157902,116.294267,35.918181,57.297122,13,1.864294,1.592511,0.880768,1.326777,0.969279,1.098997,-2.477717,-2.289036,0.899121,3.373243,3.491015
2026-05-10 00:02:00,-2162382.875160,4376358.042108,4091437.373651,-2162383.111747,4376357.231155,4091437.079633,40.158060,116.294234,35.684203,56.295312,13,1.865647,1.593701,0.881319,1.327841,0.969925,0.573027,-0.571282,-0.176604,0.665217,0.597956,0.894463
2026-05-10 00:02:30,-2162372.624343,4376350.702079,4091450.026490,-2162373.270881,4376351.107326,4091448.751793,40.158212,116.294164,35.344229,58.486256,13,1.866987,1.594884,0.881880,1.328887,0.970560,1.146513,-0.400190,1.393192,0.325507,1.449529,1.485628
2026-05-10 00:03:00,-2162363.649552,4376343.855206,4091459.476104,-2162362.303943,4376345.692834,4091460.261298,40.158335,116.294105,33.708445,83.177480,13,1.868315,1.596058,0.882452,1.329917,0.971184,0.621438,2.020309,0.078072,-1.310086,2.021817,2.409164
2026-05-10 00:03:30,-2162349.279747,4376338.923402,4091470.701137,-2162350.240993,4376341.002519,4091471.576602,40.158475,116.293980,32.703360,64.378419,13,1.869629,1.597224,0.883036,1.330929,0.971796,0.670293,0.058993,0.807584,-2.314625,0.809736,2.452175
2026-05-10 00:04:00,-2162336.275050,4376338.531168,4091482.034093,-2162337.115093,4376337.049239,4091482.666691,40.158589,116.293845,35.340542,65.316313,13,1.870930,1.598381,0.883630,1.331924,0.972397,0.683628,-1.409495,-1.100390,0.323159,1.788166,1.817132
2026-05-10 00:04:30,-2162322.151890,4376336.531211,4091493.781611,-2162322.962222,4376333.843827,4091493.501168,40.158716,116.293707,36.764880,48.526425,13,1.872217,1.599530,0.884235,1.332901,0.972986,0.413563,-1.916743,-1.108048,1.748041,2.213972,2.820872
2026-05-10 00:05:00,-2162307.908741,4376334.159362,4091504.498917,-2162307.821171,4376331.395071,4091504.050336,40.158839,116.293569,37.229442,66.273995,13,1.873490,1.600669,0.884850,1.333860,0.973563,0.967536,-1.145767,-1.280467,2.213102,1.718248,2.801820
2026-05-10 00:05:30,-2162292.369207,4376329.357806,4091514.436492,-2162291.733441,4376329.709682,4091514.285280,40.158973,116.293431,35.087516,56.043669,13,1.874749,1.601799,0.885476,1.334800,0.974127,0.486104,0.725855,0.137434,0.071600,0.738751,0.742213
2026-05-10 00:06:00,-2162273.579724,4376328.866356,4091523.801242,-2162274.743128,4376328.792280,4091524.177947,40.159088,116.293235,34.429211,44.065772,13,1.875993,1.602919,0.886113,1.335723,0.974680,0.978653,-1.075887,0.001551,-0.585976,1.075888,1.225114
2026-05-10 00:06:30,-2162257.881882,4376331.420714,4091534.253832,-2162256.896800,4376328.645379,4091533.701223,40.159187,116.293057,37.606114,64.123399,13,1.877223,1.604030,0.886759,1.336626,0.975220,1.178553,-0.345971,-1.463691,2.591555,1.504024,2.996372
2026-05-10 00:07:00,-2162238.806155,4376329.234637,4091543.798548,-2162238.243373,4376329.269381,4091542.829003,40.159313,116.292868,35.805965,73.602681,13,1.878437,1.605130,0.887417,1.337510,0.975747,0.888675,0.519964,0.600347,0.791940,0.794216,1.121583
2026-05-10 00:07:30,-2162220.255848,4376328.324336,4091550.028814,-2162218.833974,4376330.662577,4091551.536271,40.159409,116.292677,32.920358,75.982784,13,1.879636,1.606220,0.888084,1.338376,0.976262,1.727124,2.310404,-0.206267,-2.093086,2.319593,3.124344
2026-05-10 00:08:00,-2162198.457840,4376330.750099,4091561.287194,-2162198.721805,4376332.821148,4091559.799160,40.159529,116.292435,34.463917,40.628547,13,1.880819,1.607299,0.888761,1.339221,0.976764,1.262726,0.680585,2.410126,-0.548875,2.504377,2.563819
2026-05-10 00:08:30,-2162177.073913,4376337.030479,4091566.177359,-2162177.961990,4376335.739177,4091567.595021,40.159585,116.292177,34.681895,55.902038,13,1.881985,1.608367,0.889448,1.340047,0.977253,0.613768,-1.368135,-1.576456,-0.330004,2.087344,2.113270
2026-05-10 00:09:00,-2162157.842484,4376337.992823,4091573.967299,-2162156.611431,4376339.408666,4091574.902487,40.159683,116.291970,33.854891,81.585271,13,1.883136,1.609425,0.890145,1.340854,0.977729,0.511562,1.730796,-0.247719,-1.156572,1.748433,2.096349
2026-05-10 00:09:30,-2162133.483851,4376346.557597,4091581.610303,-2162134.728648,4376343.819557,4091581.701529,40.159754,116.291669,36.406635,54.807478,13,1.884270,1.610470,0.890852,1.341640,0.978191,1.080183,-2.328709,-1.297303,1.396004,2.665686,3.009104
2026-05-10 00:10:00,-2162112.200237,4376347.838508,4091589.127142,-2162112.373621,4376348.959761,4091587.973511,40.159854,116.291438,34.927239,60.752392,13,1.885387,1.611504,0.891569,1.342405,0.978640,0.646511,0.341141,1.579514,-0.083038,1.615933,1.618065
2026-05-10 00:10:30,-2162088.614427,4376352.397253,4091592.230862,-2162089.607623,4376354.815188,4091593.701242,40.159912,116.291167,32.068417,64.045420,13,1.886486,1.612527,0.892294,1.343151,0.979075,0.585591,0.180408,0.557933,-2.941264,0.586375,2.999144
2026-05-10 00:11:00,-2162064.972080,4376359.796608,4091597.827038,-2162066.493053,4376361.369790,4091598.869022,40.159973,116.290879,32.744353,49.065180,13,1.887568,1.613537,0.893029,1.343875,0.979497,0.761614,-0.666918,0.547657,-2.264792,0.862964,2.423631
2026-05-10 00:11:30,-2162043.728071,4376364.060356,4091602.017854,-2162043.093269,4376368.605600,4091603.462687,40.160034,116.290634,31.177390,49.050238,13,1.888633,1.614534,0.893773,1.344578,0.979905,1.506910,2.582197,1.342470,-3.831422,2.910321,4.811420
2026-05-10 00:12:00,-2162021.147233,4376377.597862,4091607.519931,-2162019.472406,4376376.502785,4091607.469647,40.160060,116.290326,36.357965,74.737880,13,1.889679,1.615519,0.894526,1.345260,0.980298,0.729026,1.016608,-1.073094,1.349720,1.478182,2.001691
2026-05-10 00:12:30,-2161993.514255,4376384.866757,4091610.314217,-2161995.695208,4376385.039701,4091610.878918,40.160112,116.289997,33.786979,80.255354,13,1.890707,1.616491,0.895289,1.345920,0.980678,0.480459,-1.878793,0.291325,-1.220909,1.901246,2.259503
2026-05-10 00:13:00,-2161974.744745,4376393.547605,4091614.541153,-2161971.826846,4376394.192947,4091613.681155,40.160144,116.289754,36.107751,73.020519,13,1.891716,1.617450,0.896059,1.346559,0.981043,1.074437,2.901933,0.197007,1.100079,2.908612,3.109694
2026-05-10 00:13:30,-2161948.914483,4376400.918893,4091614.559397,-2161947.932742,4376403.937436,4091615.868679,40.160173,116.289444,32.427000,33.644152,13,1.892706,1.618395,0.896839,1.347176,0.981394,0.932596,2.217092,0.464249,-2.580430,2.265176,3.433605
2026-05-10 00:14:00,-2161925.825223,4376413.731244,4091617.579351,-2161924.078389,4376414.246458,4091617.435492,40.160186,116.289135,35.338242,67.321642,13,1.893677,1.619327,0.897627,1.347771,0.981730,0.811086,1.794352,-0.091083,0.331020,1.796662,1.826901
2026-05-10 00:14:30,-2161901.309646,4376428.255987,4091619.706633,-2161900.329168,4376425.091757,4091618.377302,40.160188,116.288801,38.364436,66.705274,13,1.894629,1.620245,0.898423,1.348343,0.982051,0.854730,-0.522338,-1.093603,3.357381,1.211943,3.569427
2026-05-10 00:15:00,-2161877.222915,4376438.803971,4091619.890953,-2161876.750176,4376436.443607,4091618.691525,40.160197,116.288493,37.557957,63.491086,13,1.895561,1.621149,0.899227,1.348894,0.982358,1.303794,-0.621538,-0.583077,2.550910,0.852225,2.689504
2026-05-10 00:15:30,-2161855.181231,4376448.732048,4091619.454768,-2161853.406041,4376448.270894,4091618.377302,40.160199,116.288209,36.618836,73.502456,13,1.896473,1.622038,0.900040,1.349421,0.982650,0.741040,1.387351,0.049820,1.611729,1.388245,2.127180
2026-05-10 00:16:00,-2161831.071523,4376458.499790,4091618.134545,-2161830.360746,4376460.541199,4091617.435492,40.160201,116.287905,34.299840,65.673053,13,1.897365,1.622914,0.900860,1.349926,0.982927,0.641061,1.541387,1.511587,-0.707430,2.158882,2.271834
2026-05-10 00:16:30,-2161809.370176,4376472.683592,4091616.199590,-2161807.677458,4376473.220891,4091615.868679,40.160169,116.287603,35.425561,62.216113,13,1.898236,1.623774,0.901688,1.350408,0.983189,0.802816,1.755614,0.080102,0.418197,1.757440,1.806512
2026-05-10 00:17:00,-2161784.412135,4376483.880415,4091612.781883,-2161785.418351,4376486.275215,4091613.681155,40.160152,116.287282,32.446143,55.115948,13,1.899087,1.624619,0.902524,1.350866,0.983436,0.666286,0.158487,0.984758,-2.561516,0.997430,2.748860
2026-05-10 00:17:30,-2161765.078287,4376502.292884,4091612.191025,-2161763.644434,4376499.668390,4091610.878918,40.160101,116.286982,38.137761,76.429442,13,1.899917,1.625449,0.903366,1.351301,0.983666,1.070968,0.123192,-0.924187,3.129893,0.932361,3.265812
2026-05-10 00:18:00,-2161744.095243,4376514.721564,4091607.554769,-2161742.415388,4376513.363707,4091607.469647,40.160059,116.286697,36.562146,44.308569,13,1.900726,1.626264,0.904216,1.351713,0.983882,0.587055,0.904733,-1.199842,1.553954,1.502719,2.161697
2026-05-10 00:18:30,-2161721.480617,4376528.178391,4091602.135104,-2161721.789402,4376527.323627,4091603.462687,40.160010,116.286389,34.633678,54.329245,13,1.901513,1.627063,0.905073,1.352100,0.984083,1.040734,-0.655417,-1.420662,-0.374958,1.564561,1.608865
2026-05-10 00:19:00,-2161699.673886,4376541.141685,4091597.954621,-2161701.823008,4376541.509888,4091598.869022,40.159969,116.286092,33.439754,65.068618,13,1.902279,1.627846,0.905937,1.352464,0.984267,0.779881,-1.763776,0.127864,-1.569450,1.768405,2.364409
2026-05-10 00:19:30,-2161682.632029,4376554.817369,4091594.298392,-2161682.570935,4376555.883606,4091593.701242,40.159917,116.285842,34.684835,49.633486,13,1.903022,1.628613,0.906808,1.352804,0.984436,0.331422,0.527003,1.055428,-0.324841,1.179687,1.223594
2026-05-10 00:20:00,-2161663.942728,4376570.496185,4091588.355641,-2161664.085950,4376570.405384,4091587.973511,40.159842,116.285564,35.270390,56.725650,13,1.903744,1.629364,0.907685,1.353120,0.984589,0.485374,-0.168625,0.280458,0.260173,0.327248,0.418068
2026-05-10 00:20:30,-2161646.666135,4376585.921709,4091582.507003,-2161646.418719,4376585.035418,4091581.701529,40.159766,116.285302,36.221295,49.630519,13,1.904443,1.630098,0.908569,1.353411,0.984726,0.642064,-0.170703,0.032490,1.210504,0.173767,1.222913
2026-05-10 00:21:00,-2161628.529412,4376600.702009,4091574.313071,-2161629.617667,4376599.733608,4091574.902487,40.159679,116.285034,34.926534,45.399702,13,1.905120,1.630816,0.909458,1.353678,0.984847,1.133071,-1.404599,-0.699575,-0.084896,1.569172,1.571467
2026-05-10 00:21:30,-2161613.409464,4376613.380037,4091567.196469,-2161613.728845,4376614.459669,4091567.595021,40.159603,116.284809,33.907104,62.846752,13,1.905775,1.631517,0.910354,1.353921,0.984952,1.041309,0.191810,0.410854,-1.104926,0.453422,1.194343
2026-05-10 00:22:00,-2161598.702280,4376630.227581,4091560.964960,-2161598.795802,4376629.173235,4091559.799160,40.159511,116.284566,36.455337,72.095843,13,1.906406,1.632200,0.911256,1.354138,0.985041,0.810079,-0.550810,0.308087,1.442627,0.631118,1.574637
2026-05-10 00:22:30,-2161585.047067,4376644.342514,4091551.538770,-2161584.859470,4376643.833980,4091551.536271,40.159407,116.284349,35.426889,79.775964,13,1.907014,1.632867,0.912163,1.354331,0.985114,0.709104,-0.057031,-0.345702,0.413574,0.350374,0.542039
2026-05-10 00:23:00,-2161571.294782,4376657.636242,4091542.326126,-2161571.958046,4376658.401719,4091542.829003,40.159310,116.284136,33.940662,72.178538,13,1.907599,1.633516,0.913076,1.354499,0.985170,0.882847,-0.255643,0.247697,-1.073337,0.355959,1.130823
2026-05-10 00:23:30,-2161559.782195,4376669.424311,4091532.642517,-2161560.126893,4376672.836522,4091533.701223,40.159212,116.283953,31.877012,79.372909,13,1.908161,1.634148,0.913993,1.354642,0.985210,1.149801,1.202190,1.262227,-3.137576,1.743123,3.589270
2026-05-10 00:24:00,-2161549.979313,4376684.870984,4091524.061170,-2161549.398439,4376687.098824,4091524.177947,40.159097,116.283770,33.609918,60.414006,13,1.908699,1.634761,0.914916,1.354759,0.985234,0.882908,1.507488,1.032965,-1.405270,1.827440,2.305281
2026-05-10 00:24:30,-2161541.808061,4376704.020883,4091515.465213,-2161539.802090,4376701.149535,4091514.285280,40.158959,116.283584,38.423260,55.610126,13,1.909212,1.635357,0.915844,1.354851,0.985240,0.578347,0.526809,-1.331340,3.407463,1.431780,3.696052
2026-05-10 00:25:00,-2161532.704450,4376717.583858,4091505.097869,-2161531.364148,4376714.950141,4091504.050336,40.158841,116.283418,37.950344,56.745195,13,1.909702,1.635935,0.916777,1.354918,0.985231,0.703673,0.035232,-1.105007,2.933925,1.105569,3.135315
